job,description
Computer Software Engineer%2C Applications,"Computer software engineers of applications develop information systems and design and develop computer programs, primarily by writing computer codes and installing software. They may be responsible for ensuring that their company's computer security programs are up-to-date, and are often required to customize existing web-based software. Working with outside vendors to test and approve products may also be necessary. Computer software engineers must document the programs they write, and this documentation may include charts, diagrams, flowcharts, layouts, code comments, and revision dates. It is essential that they keep their knowledge up-to-date due to the constant changes and improvements in computer technology; they must be aware of all new technology, programming techniques, computing equipment, and other development tools. They should improve their programming techniques and learn new computer programming languages over time, as well. To stay up-to-date with educational opportunities, it is recommended that computer software engineers read various professional publications, maintain personal networks, participate in workshops and conferences, take relevant courses or continuing education at a college or university, and become members of professional organizations. A bachelor's degree in computer science or a related field and prior work experience are generally required for this position, and some employers may prefer candidates who have a master's degree and research experience. Knowledge of  Java/Java EE, C, C++, C#, .NET, Java Script,  and other relevant programming languages may be required. Computer software engineers must protect confidentiality, and they are required to pass security clearance for certain jobs. Excellent verbal and written communications skills and interpersonal skills are also important, as they may be required to train, coach, or mentor new engineers.  Read less"
Computer Software Engineer%2C Systems Software,"Computer operating systems, compilers, distribution and billing platforms, and multi-unit inventory management programs are all considered “systems software."" This software forms a framework for businesses and organizations on which other activities can be performed. Computer software engineers in systems software are specialized software engineers that help develop new systems and platforms, as well as maintain and update existing platforms to meet the needs of the marketplace and/or employer. Computer software engineers in systems software must first develop efficient platforms, and then tailor them for usability. These engineers typically work as part of a team with other software designers, working to create entirely new platforms and update previously completed work. Another large part of the computer software engineer’s job relates to quality assurance and testing, working with relevant quality assurance department(s) and implementing fixes; for software engineers working on mature platforms, much of their work may involve streamlining systems and platforms to meet evolving customer needs. A strong educational background in computer science and/or computer engineering is necessary for computer software engineers in systems software. A bachelor's degree is generally required, and a master's degree may be preferred for some high-level systems programming positions. Companies also typically prefer engineers with a programming background and practical experience with systems software work. Software engineers in systems software typically work full time in an office environment, although overtime may be required as deadlines approach.  Read less"
Computer Specialist,"Computer specialists perform a number of tasks related to maintaining computer systems and equipment. They are typically responsible for  installing and repairing hardware, software, and other equipment, as well as overseeing the day-to-day performance of computers. These specialists also set up installation for cable and software, maintain accurate logs of help requests, and run diagnostics tests as needed. They also provide technical support and training, as well as install regular updates for office computers. Computer specialists work with employees who use computers, as well as with other computer specialists when needed.  Educational requirements for this position usually include at least a high school diploma or equivalent. At least two years of related experience and relevant certification in the field is usually required as well. Excellent communication skills, the ability to work well independently and in groups, and the ability to instruct others are generally preferred. The ability to receive relevant continuing education is generally preferred or required by employers as well. Computer specialists generally work in an office setting, and their shifts may vary depending on their company's needs. For example, some companies may require computer specialists to work overnight to fix and set up computers. This is generally a full-time position, although some companies may hire part-time computer specialists as well.  Read less"
Computer Support Specialist,"A computer support specialist helps users that are having problems with software, computers, printers, scanners, and other computer components.  They generally assist companies or provide in-house support but some also provide support to external individuals as well. The computer support specialist may provide help over the phone, through chat, via email, and/or in person. Their typical duties include supporting common business and productivity software, as well as assisting callers with requests for information and repair and support requests. They also answer recommend changes or updates in programming and training as needed. Additionally, computer support specialists develop and help maintain required technical documentation.  Computer support specialists generally work full time, but they may work a variety of shifts - including nights and weekends - depending on the requirements of their organization and position. Requirements for this job often depend on the employer. Generally, the individual must be knowledge about relevant computer software and hardware; some organizations require a bachelor's degree in a relevant field as well. Skills needed for this position include strong communication, presentation, critical thinking, and problem solving skills.  There are advancement opportunities within this field. Computer support specialists may be promoted into positions that allow them to help improve future products. Those working for software and hardware companies may eventually become software developers and network computer systems administrators.  Read less"
Computer Support Technician,"A computer support technician helps to maintain the usability of a business or organization’s information technology (IT) hardware assets. In many situations, this means working with desktop and laptop computers to make sure they operate as needed by a company’s employees. They work with the employees to help resolve any hardware operation problems to keep the employee working at optimal levels. In high-end IT work, support technicians also ensure that mainframes, dedicated server computers, and related technology remain online and operating as intended. Computer support technicians normally spend much of their time working to ensure any hardware or software upgrades are executed according to company IT protocols, as well as ensuring that computer operators in the company receive any necessary training. The support tech acts as the help desk for the employees of the organization and helps resolve hardware- and IT-related complaints. Support technicians also need to execute routine repairs and maintenance on company equipment. As new technology becomes available, they must execute an efficient installation of this new equipment and facilitate any necessary training for employees who will use it. The support tech usually works in an office environment during regular business hours; however, large-scale upgrades and installation may occasionally require overnight or evening work. The education requirements for this position normally includes relevant postsecondary education, usually from a technical college. The computer support technician also likely needs to possess certifications for various software and operating systems used by the company.   Read less"
Computer Systems Analyst,"Computer systems analysts use computers and related systems to automate functions and integrate them into distributing, manufacturing, sales, and other related functions. These analysts look at what a business unit or organization is attempting to do and then figure out how to use computer technology to streamline and automate those processes to achieve maximum accuracy and efficiency. Computer systems analysts must have a clear idea of what processes he or she is trying to automate. They break down processes into component parts, conduct cost analysis, and then figure out the software and hardware requirements to execute. Additionally, the analyst likely designs applications and tailors hardware for each need per its specific requirements. Computer systems analysts often examine existing computerized processes. They look for inefficiencies in the systems and areas that can be improved. The analyst is then called upon to create improvements, new iterations, or even completely different solutions that enhance or fix existing systems. Computer systems analysts typically work during regular business hours in an office environment. The basic educational requirements for employment in this field is a bachelor's degree in computer science or engineering with a programming and design emphasis. Some larger companies seek out candidates who have graduate-level degrees in business and business management as well.   Read less"
Computer Technical Support Specialist,"A computer technical support specialist is an employee who diagnoses and troubleshoots hardware and software problems for other employees or consumers. Almost any midsized company that relies on computers will typically require tech support specialists to assist employees who operate them, so that business operations maintain peak efficiency. Companies that manufacture or sell software, computers, and/or components will also have technical support specialists. These specialists help customers with installing and operating their computers and software. Many technical support specialists will work as part of an information technology or information services department in a larger company or organization. These business entities typically may have anywhere from dozens to thousands of employee users handling a variety of functions through computer technology. In this career path, the technical support specialist will typically be required to log tech support calls from employees. He or she will then work with them through a variety of step-by-step procedures to attempt to solve difficulties. If the tech support person is in the same building or campus as the employee, the specialist can make an onsite visit and work to diagnose and repair or replace hardware and software as needed. To work as a computer technical support specialist, a person must typically have a strong educational background in the IT field. While a degree may not be required by some employers, most job candidates will find that the certifications in various computer disciplines do require at least some post-secondary training at a technical school or community college.    Read less"
Computer and Information Scientist%2C Research,"Computer and information research scientists are responsible for overseeing research efforts and completing information and computer-related reports on behalf of their organizations. They also help complete investigative tasks and process data to gather new information, so organization and close attention to detail are important in this position. These research scientists generally use a personal computer to research concepts, apply them to computational models, and reach conclusions; they also create complex charts and write extensive reports based on their observations. They often work with other scientists by sharing information to complete large-scale projects in a timely manner, and may use a variety of research methods to find high-quality data based on established project parameters. Computer/information research scientists must be familiar with various programming and scripting languages to create functional queries and be proficient with databases to research and categorize information. As part of their research duties, they also document software customization and report issues with software applications, as well as analyze and solve program errors with high efficiency and care. They must be able to multitask on a variety of projects and report their progress to the information manager in their department. They also help design innovative solutions which save costs, research new technologies to be implemented, and complete research administrative work in a fast-paced environment with strict deadlines. A bachelor's degree in a field relating to computer science is generally required for this position, and prior work experience in a research capacity is highly beneficial. Information, research, and technology certifications are also helpful.  Read less"
Configuration Analyst,"Configuration analysts are responsible for developing and maintaining software and other technological aspects of a corporation. Although every configuration analyst works with different sets of tools and equipment depending on the company and industry, the general duties are the same. Configuration analysts should have a bachelor's degree in computer science, information technology, or a related field, or they should have equivalent work experience. Most companies require analysts to have a few years of project management experience before taking on this role. Analysts should also have specific experience related to their industry, especially healthcare and payment processing. Knowledge of scripting languages and database management can be useful. Configuration analysts are responsible for making sure that companies are able to use technology throughout all departments. They also make sure that necessary technology interfaces appropriately with client needs, including third-party applications. This may include some customer interaction. They are responsible for ensuring that applications remain secure and are required to communicate with peers both internally and externally. A high level of problem solving is also needed to troubleshoot system issues and prevent downtime. Configuration analysts work in an office environment and traditionally work during normal business hours, although some late shifts or on-call work may be needed. Some companies allow analysts to work remotely. Configuration analysts may work independently or be asked to oversee junior analysts. They typically report to the head of information technology or the equivalent.  Read less"
Configuration Management (CM) Analyst,"A configuration management analyst is responsible for configuring various databases and technological infrastructures for their organization. This position is highly valuable in companies of all sizes, and these analysts generally work traditional business hours. The job is not physical in nature, but may be mentally challenging, and they may work individually or on teams with other analysts. CM analysts have a variety of responsibilities, including: designing and developing technological infrastructures; developing hardware, software, and various systems support structures; systems performance management; building database configuration; analyzing and maintaining various computer databases; recommending enhancements within technological systems; performing configuration verification tasks; conducting assessments regarding hardware and software configuration; implementing various changes within technological systems; training others within their department; and overseeing various organizational management procedures. A bachelor’s degree in a field such as computer science, engineering, or information systems and at least five years of work experience are generally required for this position, and some organizations may require additional training or certifications. Applicants should be expert critical thinkers and problem-solvers and have strong communication skills, as well as the ability to explain highly technical terms to those who may not have an in-depth understanding of the subject.  Read less"
Configuration Management (CM) Manager,
Configuration Management (CM) Specialist,"Configuration management (CM) specialists are responsible for developing software; those in this position may also be known as ""software engineers"" or ""computer programmers."" These specialists work primarily in the technology field and the majority of their workday is spent in an office or other indoor environment. CM specialists generally work traditional business hours, though some may work extended hours. A bachelor’s or master's degree in a field such as computer science or software engineering is generally required for this position, and these specialists work either independently or on teams to achieve company goals. Those in this position have a variety of responsibilities, including: recommending solutions to meet customers' needs; planning and coordinating configuration activities; maintaining deadlines; developing improvements to increase efficiency; determining requirements of various systems; training staff and management regarding configuration policies; developing tools to support management and configuration; following company policies at all times; resolving issues in a timely manner; assisting with configuration audits; creating and maintaining documentation regarding configuration management; identifying errors; troubleshooting networks and security issues; and training all necessary personnel. Candidates for this position should be highly analytical, expert problem-solvers, and proficient communicators, as CM specialists must often explain highly technical aspects to individuals who may not understand technical terms.  Read less"
Configuration Management (CM) Technician,
Configuration Manager,"Configuration manager positions are available in a wide range of industries, but they are most commonly found in technology-based businesses. Although these positions may not have specific educational requirements, gaining an entry-level position in this field (needed for eventual promotion to managerial status) often requires at least a bachelor's degree in a relevant field. The experience level for these openings varies by company, but extensive work as a systems administrator with knowledge of the technologies used within the hiring company is usually the minimum requirement. The position often requires security clearances and sometimes requires specific certifications; these are generally specific to individual companies and/or projects. Daily tasks performed by configuration managers include working with custom applications and software to ensure builds and deployments are completed smoothly. This involves working with multiple departments and often requires testing with both legacy and modern systems simultaneously. If any issues are found, they must be reported and fixes must be requested. Although individuals in this position often work in small teams, there is individual accountability for ensuring accuracy and proper preparation. Work hours for configuration manager positions typically include regular business hours, but overtime for some projects may be necessary. Aside from tasks such as light lifting or long hours on computers, this job has few physical requirements and sources of risk or hazard. Work is typically done in an indoor environment, although some travel may be necessary depending on the company’s needs.  Read less"
Configuration Manager%2C IT,
Configuration Manager%2C Software %2F Computer Hardware,"A configuration manager's basic job consists of administering and providing the processes that are used to manage and control the changes throughout the life cycle of software products.  The software configuration manager will make sure that the software stays reliable and can be reproduced throughout the entire development process, even if there are revisions or changes that were made.   They will work with several developmental teams. As the manager, they will make sure everyone is following the correct guidelines.  They will create a software guide early in the process that will be repeated throughout to make sure that the complex processes are followed the right way. When the teams come up with new codes for the software and change the program, it is the manager's job to run it multiple times to make sure that the new codes work with the old codes.  If there are errors, he or she will have to let the team know and help them try to fix them. Sometimes, there will be many new codes submitted at the same time, and it is up to the software configuration manager to test them all out. This is to ensure that they all will work together and not cause problems down the road. Most software configuration managers have at least a bachelor's degree from computer science fields, as well as many years of experience creating software.  It is not an easy job to attain, as you will need to really prove that you are able to handle the final decision-making tasks in some very tough jobs.  Read less"
Consulting Software Engineer,
Content Analyst,"There is a great need in today's economy for cutting down costs and finding innovative ways to do so, as well as adding to the bottom line in any way possible; content analysts play a crucial role in each respect. They generally use excel sheets and charts to analyze their businesses from multiple angles and identify areas which can be improved in any way. Those in this position generally work alongside their companies' executives to help streamline operations, maximize profits, and minimize losses, and work in every field imaginable, from medicine and manufacturing goods to the financial sector and everywhere in-between. In each individual field, there are countless analyses and examinations to make to help improve and optimize the business. Qualifications and requirements for the position vary by employer, but some are fairly common. A bachelor's degree and prior work experience are often required, and those with a business degree may be preferred by some employers. Strong attention to detail and familiarity with Microsoft Excel and other statistical analysis programs are also important.  Read less"
Content Manager,"Content managers work with creative personnel and freelancers to establish and maintain creative materials used by a website, a marketing campaign, media aggregator, or similar entity that offers content.  Their work  includes editing for appropriateness of tone, style, and subject matter.  Because many content managers work for web media sites, they usually review not only written suggestions, but also video and sound content (such as podcasts). They may even be used for input on the layout and graphic presentation of the site itself. A content manager may have a creative staff providing content in written, video, or audio form, but they are likely to also use freelance submission. The content manager works with his or her creative team to set schedules and deadlines, as well as planning themes and updates for long-term projects and situations. They help to establish standards surrounding conflict, and then make sure the creative work fits this style.  The content manager may work with editors in a variety of departments that contribute content; it is up to the content manager to keep those departments on deadline. In smaller organizations, the content manager may create most or all of the content; in these cases, the manager should expect to do their own writing and copy editing for written material. The education requirements for content managers vary by the entity requiring this position. For brand content management, a company may require a bachelor's degree in marketing, communications, or a related discipline. For web content management, an organization likely values practical experience over formal education requirements. In all cases, a web-based content provider will likely prefer a content manager with some HTML programming and layout experience.  Content managers generally work fairly irregular hours. Although brand- and marketing-related management situations may allow for more regular hours, there is no guarantee. The content manager must understand basic computer software as well.  Read less"
Cryptographer,
Cryptologist,
Crystal Reports Developer,"A crystal reports developer is a position in a company responsible for the operation of writing, upgrading, and updating information with the crystal reports business intelligence application. The typical skills involved with this position include computer programing and the ability to combine data in a way that makes analysis easier. The types of industries that employ these developers include information technology and consulting.  The exact range of skills can vary depending on the exact company since there can be various disciplines of a crystal report developer. They are generally responsible for creating information reports that provide data for analysis intended to improve company performance or troubleshoot other issues.  General computer programing, knowledge of SQL Queries, and experience with MS Visual Studio is required. They work closely with other developers, troubleshooting staff, management personnel within the company, and a team leader responsible for coordinating developers efforts.  To be qualified as a crystal reports developer, a basic degree such as a high school diploma or associate's degree is a standard minimum. Some companies require a four-year degree in computer engineering or science. Besides an accredited degree, most companies seek out qualified individuals with several years of programming knowledge or previous crystal reports experience. They typically work regular business hours associated with their office. A typical day involves performing tasks related to crystal reports from their work station. A crystal reports developer is typically a full-time position. Working overtime to troubleshoot issues can be a common part of their schedule.  Read less"
Customer Relationship Management (CRM) Administrator,"Customer Relationship Management (CRM) administrators are responsible for bridging the gap between their employers' CRM computer systems and the users. CRM software is designed to help businesses manage customer data, marketing, customer support, business processes, automated sales, employee management, and other applications depending on the employer's size and business needs. CRM administrators often have a strong information technology (IT) background and must interact with users from different departments and understand a range of applications (marketing services, sales, inventory, etc.) They must be able to educate users on how to correctly enter relevant data into the system and verify and reconcile the data that is entered. They may answer users' questions via phone or email and work with CRM system vendors, and must collaborate with department managers, technical writers, programmers, software engineers, system engineers, and other staff. Strong communication and customer service skills are important in this position in order to work well with internal and external clients, and some troubleshooting skills may also be necessary when problems arise. A bachelor’s degree in computer science, information technology, or a related field is generally required for this position, and CRM administrators must also know how to customize their employers' CRM systems.  Read less"
Customer Relationship Management (CRM) Application Administrator,"Customer relationship management (CRM) application administrators are responsible for designing, creating, maintaining, customizing, and updating a company's CRM interface so that employees can efficiently and effectively use it. The CRM application administrator must be able to communicate with colleagues, often rely on their input to keep the CRM software applications up to date and in line with user needs. They are also responsible for working with and training the employees on the CRM software, troubleshooting software-related problems, meeting with management about software updates, and preparing budgets related to CRM infrastructure. The application administrator typically works in an office setting during regular business hours, although alternative and/or additional hours may be required depending on the needs of the employer. A CRM application administrator must be highly skilled with CRM software and have professional experience working with it. They also generally need at least a bachelor's degree, preferably in a business- or technology-related field. They should also be knowledgeable about database development, information technology (IT) infrastructure, and business programming. An application administrator often benefits from continuing his or her education periodically; technology is constantly transforming, and it is important to keep up to date with any changes.  Read less"
Customer Service Scheduling Analyst%2C Call Center,
Customer Service Traffic and Scheduling Analyst%2C Call Center,
Customer Support Engineer,"Customer support engineers respond to customer inquiries about technical problems through an Internet-based system, telephone calls, and email. They must have strong communication skills, both verbal and written, and be able to work under pressure to solve the technical problems for personal and business clients.   The customer support engineer documents calls from clients and provides troubleshooting help to find the problem and isolate it. They then must find the resolution and ensure the clients expectations are met in a timely manner. The customer support engineer works closely with quality assurance and engineering departments or personnel to further investigate and resolve issues. These engineers must have vast product knowledge and need to keep abreast of their industry. The customer support engineer will also assist in system configurations and support programs after hours.  Customer support engineers work a variety of shifts, and they may work long hours if trying to solve a difficult problem. Customer support engineers may also be required to travel for meetings or to help fix a difficult problem. Customer support engineers typically need a bachelor's degree in computer science, computer programming, software engineering, or a related field. Many companies request prior work experience in either an information technology setting or as a support or systems analyst. These engineers need to have strong web application experience, as well as experience with UNIX/LINUX and Java. They must also possess a strong knowledge of basic computer programs such as the Microsoft Office suite.   Read less"
Cyber Security Analyst,
Data Administrator,"Data administrators are IT professionals responsible for storing, arranging, presenting, and using data within an organization's database. It is up to them to ensure that database systems are up-to-date, secure, and functioning well with easy accessibility. Different companies have different expectations for their database's storage requirements, so it's up to data administrators to meet these demands in every way possible. This means they may also be required to install and upgrade databases, or integrate old database systems with newer ones. They are generally responsible for monitoring databases and providing maintenance, if necessary, which involves performing routine tests and modifications. When problems arise, they must be capable of troubleshooting software and hardware and making repairs, if necessary. Data administrators are also responsible for the security of data, particularly if the data contains sensitive or personal information. Because data is something every organization must keep, data administrators are employed by a very wide range of institutions. Employers can range from medical or private companies to educational and government institutions. Those in this position typically work during regular business hours, but may occasionally be needed for troubleshooting problems outside of working hours. They speak regularly with other administrators within the company, particularly regarding security issues and other efforts that require coordination. Employers generally prefer those with a Bachelor's or Master's degree in a field relating to computer science, but Associate's degrees may be sufficient with added work experience.  Read less"
Data Architect,"Data architects  are responsible for the design, structure, and maintenance of data, usually organized in a relational database. A data architect ensures the accuracy and accessibility of data relevant to an organization or a project. The management and organization of data is highly technical and requires advanced skills with computers and proficiency with data-oriented computer languages such as SQL and XML.  A successful data architect must possess superior analytical skills and be detail-oriented. Data architects require the ability to communicate effectively, as they typically are part of a larger team within an information technology department. Additionally, a data architect likely needs to explain complex technical concepts to non-technical staff. Since development of data models and logical workflows is common, a data architect must also exhibit advanced visualization skills, as well as creative problem-solving.  For most positions in data architecture, a bachelor's degree in a computer science-related field is required; an advanced degree usually is preferred. Most data architects are employed by a company or educational institution for management of large amounts of internal data and information structures. Most of the work is performed on a computer, either at a desk in an office or on-site; therefore, data architects must be able to sit for extended periods of time. Data architects often work more than 40 hours a week, troubleshooting problems or meeting deadlines, especially during critical phases of projects.  Read less"
Data Center Manager,"Data centers are a catch-all name for the information technology (IT) area where data is stored for companies engaging in all sorts of work, from large corporations to small, dedicated e-commerce retailers. Data center managers are responsible for ensuring the integrity of this stored data, whether it includes vital company information or sensitive customer information. These managers also ensure that hardware is kept up-to-date and functioning properly, regulations for data storage are followed, and proper procedures for data entry are maintained, and may recommend and implement upgrades to a firm's IT or data infrastructure. They may also be required to perform database programming work to help company personnel access data as efficiently as possible. A data center manager's job involves a great deal of analytics, as they typically study system-generated reports on the efficiency of the company's database and storage. This can be data stored within a server architecture or off-premises in a hosted cloud environment, and the manager ensures that access remains fast and seamless both inside the corporate environment and for customers who need to access things like order histories and profiles. They are also typically responsible for any hardware repairs or upgrades to ensure maximum efficiency and data up-time. Data center managers also help to establish parameters for data usage and ensure that existing rules are followed. This may include creating tiers of access levels within a company based on data sensitivity and job function, and creating parameters for proper data entry and storage of customer data is also part of the job. They may work with an IT security officer or supervise IT security to ensure that precautions and redundant systems are in place in case of malicious attacks or power surges/outages within the data center itself. Finally, data center managers may be required to help program database tables and update or customize database software specific to a company's needs, which typically requires knowledge of one or more relevant programming languages. Candidates for this position should have a strong educational background in information technology (IT) and computer science or engineering. Companies typically prefer those who have at least an undergraduate degree and extensive practical experience working within data center teams in technical jobs. Most data center managers work regular business hours in a computer environment, but this job also frequently requires them to be available by phone, and some irregular hours for installs and upgrades may occasionally be necessary.  Read less"
Data Center Technician,"A data center technician oversees server centers and other centralized banks of computers for data-, cloud-, and information technology-dependent companies. He or she helps ensure that networks stay up and online, that data is accessible, and that the processing and performance speed and power maintains efficiency at all times. Much of a data center technician's job involves actively monitoring server and network performance and then analyzing this information. The technician determines what areas, if any, are falling below efficiency standards and works to isolate and address them. He or she also performs troubleshooting for customer and client problems as well, seeking to isolate those problems within the server and processing structure. In most cases, a company expects the technician to be able to perform routine hardware repairs, replacements, and upgrades, as well as upgrade and augment existing hardware while causing minimal, if any, downtime for users and clients. In some cases, data center technicians may be asked to create detailed reports illustrating efficiency bottlenecks and offering upgrade solutions to solve them. Many companies also use the job title of data center technician for first-line customer support of software, applications, and network services. This job may encompass the areas already discussed, but is typically focused more on individual client and customer problem-solving, and it requires more extensive knowledge of the software applications sold by the employer. To work as a data center technician, a person typically needs at least an associate's degree in information technology (IT) services or a similar computer-focused disciplines. Additionally, employers look for a variety of network certifications specific to a position and frequently want entry-level help desk experience.   Read less"
Data Consultant,"Data consultants, also known as system consultants, work in a wide range of fields including computing, business, industrial areas, retail, and others in which data of all different types must be analyzed. This is necessary to inspect operating processes and information technology (IT) systems to ensure the business is operating at optimum levels with ideal processes and functionality to best meet their clients' needs. In most cases, data consultants work in an office for a corporation, though they may occasionally visit a particular job site or corporate location to perform their duties. Those who work for outside consultants rather than a particular corporation may travel regularly to clients' locations to discuss their needs and the results of their data findings. Regardless of where they perform their duties, data consultants must be thoroughly familiar with the types of data with which they work and how they apply to real-world scenarios. Strong written and verbal communication skills are essential in this position to work with people face-to-face, over the phone, and via regular written reports. Strong data analysis skills are also important, and data consultants must always stay up-to-date with new developments and changes within the industry, as well as all legal regulations which apply. A bachelor’s degree in computer science, information technology (IT) management, or a related field is generally required for this position, and many also have practical on-the-job experience which helps them to become consultants while working toward a bachelor’s degree.  Read less"
Data Conversion Analyst,"Data conversion analysts convert data from one type to another; in some positions, the objective is to convert data to a more user-friendly format.  Problem solving skills are important, as different clients will need different types of data conversions and the analyst must bring solutions to realization.  As data is converted, the analyst should ensure that it is formatted properly and analyze the end results for efficiency. It is important to stay up-to-date with new technologies and the work is done with a computer for a majority of the shift, so the ability to sit for long periods of time may be necessary. Some jobs require analysts to be familiar with SQL, Java, C++, and other programming languages, and analysts should be able to find standard ways to reduce the time that must be spent on conversions. They may also administer training on how to utilize conversions, so strong communication and public speaking skills are highly beneficial. Data conversion analysts perform many of their tasks independently, so it's important to be able to meet deadlines; however, teamwork skills are also important, as it is often necessary to determine needs with other staff members and departments and coordinate work. Usually, college education in information technology or computer science is required for this position.  Read less"
Data Conversion Specialist,"Data conversion specialists typically have supervisors and work indoors on a computer during regular business hours. Although prior experience in data-manipulation is required for this position, a college degree is not necessarily required. Above all, they must understand the logic behind data, including where it came from, what it means, and the data's end purpose for successful migration/conversion to a different format. These specialists are responsible for developing the process of converting data and must be able to work with tools such as Word, Excel, Access, and electronic databases of all kinds. They may work independently or on teams, and strong communication and customer service skills are also important in this position. Data conversion specialists must be able to ask questions, get concise requirements, and speak to technical staff and business clients in understandable terms. They must also be able to interpret lists of requirements to ensure that finished products match and validate data to ensure successful conversions by conducting tests. Problem-solving skills are also important in this position for successful data conversion.  Read less"
Data Coordinator,"Data coordinators typically bring together the efforts of a data entry team within a company which requires data entry in large volumes. These coordinators are often employed in the health care field, and also work in sectors such as retail and industrial. They are responsible for ensuring that all employees follow proper data collection/entry policies and procedures in an accurate and timely manner, and may also interview, hire, and train employees and oversee their daily operations. In positions where data is acquired by the data entry team, the coordinator may assist in designing collection methods and materials, such as surveys, and organizing information by analysis and classification. They must securely maintain their data entry databases, which may involve implementing security systems and performing back-ups, and must ensure that HIPAA and other privacy laws are followed at all times. Data coordinators should be able to work independently and with minimal supervision, and must also work well under pressure to complete tasks on-time. Good computer skills and the ability to work well with databases and spreadsheets are necessary, and employers may require a college degree and/or prior experience in data collection/entry.  Read less"
Data Engineer,"Data engineers typically work in an indoor office setting, and a college degree in computer science, engineering, or a related field is often a minimum requirement for this position. Computer skills, particularly with Linux systems, and three to five years of prior work experience may also be required, and applicants should have knowledge of algorithms, data structures, and performance optimism and experience with processing and interpreting data sets. Data engineers are responsible for developing and translating computer algorithms into prototype code and maintaining, organizing, and identifying trends in large data sets. Expected skills and experience also include proficiency in SQL database design, proficiency in creating process documentation, strong written and verbal communication skills, and the ability to work independently and on teams. Familiarity with the computer coding languages python, java, kafka, hive, or storm may be required in order to oversee real-time business metric aggregation, data warehousing and querying, schema and data management, and related duties. Data engineers often work on teams and should enjoy working with other data engineers. Work schedules are often flexible and offer the possibilities of working from home, paid days off, 401k, vacation time, and health insurance.  Read less"
